"user"	"date"	"oclc"	"name"	"state"	"ids"	"turn"	"status"	"distance"
"bruestle"	"2014-03-18"	"ZAP"	"UNIVERSITY of CALIFORNIA, N REG LIBRARY"	"CA"	false	"10"	"Student"	"0"
"bruestle"	"2014-01-14"	"ZCU"	"COLUMBIA UNIVERSITY"	"NY"	false	"0"	"Student"	"139"
"bruestle"	"2014-03-19"	"CLU"	"UNIVERSITY of CALIFORNIA, LOS ANGELES"	"CA"	false	"29"	"Student"	"0"
"bruestle"	"2014-01-14"	"NYP"	"NEW YORK PUB LIBRARY"	"NY"	true	"0"	"Student"	"0"
"bruestle"	"2014-03-18"	"SPI"	"ILLINOIS STATE LIBRARY"	"IL"	false	"7"	"Student"	"0"
"brunob"	"2016-08-19"	"PIT"	"UNIVERSITY of PITTSBURGH"	"PA"	false	"7"	"Faculty"	"352"
"brustowa"	"2015-03-20"	"NAM"	"SUNY at ALBANY"	"NY"	true	"6"	"Student"	"10"
"buccig"	"2014-03-05"	"NAM"	"SUNY at ALBANY"	"NY"	true	"7"	"NA"	"10"
"buccig"	"2013-12-11"	"NAM"	"SUNY at ALBANY"	"NY"	true	"8"	"NA"	"10"
"burtond"	"2016-01-04"	"FLA"	"LARGO PUB LIBRARY"	"FL"	false	"9"	"Faculty"	"0"
"burtond"	"2016-06-10"	"VVP"	"BARD COLLEGE"	"NY"	true	"5"	"Faculty"	"0"
"burtond"	"2014-05-09"	"OKS"	"OKLAHOMA STATE UNIVERSITY"	"OK"	false	"10"	"Faculty"	"1313"
"burtond"	"2016-02-22"	"ZTM"	"MID-YORK LIBR SYST"	"NY"	false	"7"	"Faculty"	"0"
"burtond"	"2017-10-04"	"MOS"	"SPRINGFIELD GREENE CNTY LIBRARY"	"MO"	false	"17"	"Faculty"	"0"
"burtond"	"2013-10-03"	"VJK"	"SUNY ADIRONDACK LIBRARY"	"NY"	false	"11"	"Faculty"	"39"
"burtond"	"2014-11-18"	"WCM"	"WILLIAMS COLLEGE"	"MA"	false	"7"	"Faculty"	"37"
"burtond"	"2016-10-20"	"COF"	"COLORADO STATE UNIVERSITY"	"CO"	false	"6"	"Faculty"	"1606"
"burtond"	"2014-06-17"	"VZS"	"SKIDMORE COLLEGE"	"NY"	false	"5"	"Faculty"	"21"
"bushl"	"2017-04-10"	"ORC"	"REED COL LIBRARY"	"OR"	false	"11"	"Faculty"	"2384"
"butlerd"	"2017-10-10"	"PIT"	"UNIVERSITY of PITTSBURGH"	"PA"	false	"7"	"Faculty"	"352"
"butlerd"	"2017-07-25"	"IOG"	"GRINNELL COLLEGE"	"IA"	false	"8"	"Faculty"	"961"
"butlerd"	"2017-01-03"	"GZQ"	"MARQUETTE UNIV RAYNOR MEMORIAL LIBRARY"	"WI"	false	"4"	"Faculty"	"708"
"butlerd"	"2017-09-12"	"DNU"	"DENISON UNIVERSITY"	"OH"	false	"5"	"Faculty"	"534"
"butlerd"	"2017-09-26"	"VJN"	"COLLEGE of ST ROSE LIBRARY"	"NY"	true	"5"	"Faculty"	"13"
"butlerd"	"2015-03-30"	"NAM"	"SUNY at ALBANY"	"NY"	true	"3"	"Faculty"	"10"
"butlerd"	"2017-08-08"	"YRM"	"RENSSELAER POLYTECHNIC INST"	"NY"	false	"3"	"Faculty"	"14"
"butlerd"	"2017-09-15"	"WKM"	"SUNY AGR & TECH COL at COBLESKILL"	"NY"	true	"4"	"Faculty"	"0"
"butlerd"	"2017-01-03"	"IWC"	"WABASH COLLEGE"	"IN"	false	"8"	"Faculty"	"0"
"calandrn"	"2013-10-11"	"WEL"	"WELLESLEY COL, MARGARET CLAPP LIBRARY"	"MA"	true	"5"	"Faculty"	"138"
"calvocrm"	"2015-03-18"	"HVC"	"HAVERFORD COLLEGE"	"PA"	false	"2"	"Student"	"207"
"calvocrr"	"2014-06-09"	"ORC"	"REED COL LIBRARY"	"OR"	false	"10"	"Student"	"2384"
"cantwela"	"2014-10-07"	"MTH"	"MOUNT HOLYOKE COLLEGE"	"MA"	false	"6"	"Student"	"79"
"caoy"	"2015-01-15"	"SNN"	"SMITH COLLEGE"	"MA"	false	"18"	"Student"	"74"
"caoy"	"2014-11-12"	"CFI"	"CALIFORNIA STATE UNIV, FULLERTON"	"CA"	false	"13"	"Student"	"0"
"caoy"	"2014-07-14"	"FXN"	"FLORIDA INT UNIV, BISCAYNE BAY CAMP LIBRARY"	"FL"	false	"11"	"Student"	"0"
"caoy"	"2015-01-22"	"UB#"	"UNIV HANNOVER & TIB"	"EU"	false	"49"	"Student"	"0"
"caoy"	"2015-02-02"	"LAF"	"LAFAYETTE COLLEGE"	"PA"	false	"3"	"Student"	"161"
"caplanm2"	"2015-05-29"	"SFB"	"SIMON FRASER UNIVERSITY"	"BC"	false	"11"	"Student"	"0"
"caplanm2"	"2015-06-03"	"VZS"	"SKIDMORE COLLEGE"	"NY"	false	"3"	"Student"	"21"
"carrabbe"	"2017-10-16"	"YHM"	"HAMILTON COL LIBRARY"	"NY"	true	"8"	"Student"	"76"
"carranca"	"2015-11-02"	"RVE"	"ROCHESTER INST of TECHNOL LIBRARY"	"NY"	true	"7"	"Student"	"190"
"carrollk"	"2014-03-04"	"NAM"	"SUNY at ALBANY"	"NY"	true	"4"	"Student"	"10"
"carrv"	"2013-11-19"	"BKL"	"BROOKLYN PUB LIBRARY"	"NY"	false	"5"	"Student"	"148"
"cartwrig"	"2015-06-12"	"BTS"	"BATES COLLEGE"	"ME"	true	"7"	"Student"	"207"
"cartwrig"	"2015-06-15"	"EMI"	"UNIVERSITY of MICHIGAN, LAW LIBRARY"	"MI"	false	"8"	"Student"	"0"
"cartwrig"	"2014-07-29"	"FHM"	"UNIVERSITY of S FLORIDA"	"FL"	false	"6"	"Student"	"1149"
"cassaria"	"2015-06-10"	"BBH"	"BOWDOIN COLLEGE"	"ME"	true	"7"	"Student"	"213"
"cassaria"	"2015-06-24"	"MDY"	"MIDDLEBURY COLLEGE"	"VT"	true	"6"	"Student"	"91"
"cassaria"	"2016-09-12"	"BBH"	"BOWDOIN COLLEGE"	"ME"	true	"5"	"Student"	"213"
"cattafeb"	"2015-03-18"	"NAM"	"SUNY at ALBANY"	"NY"	true	"5"	"Student"	"10"
"cattafeb"	"2015-03-18"	"MUU"	"UNIVERSITY of MISSOURI--COLUMBIA"	"MO"	false	"6"	"Student"	"996"
"cattafeb"	"2015-03-18"	"NAM"	"SUNY at ALBANY"	"NY"	true	"3"	"Student"	"10"
"cattafeb"	"2015-03-18"	"WEL"	"WELLESLEY COL, MARGARET CLAPP LIBRARY"	"MA"	true	"4"	"Student"	"138"
"cattafeb"	"2015-03-18"	"IDU"	"DEPAUW UNIVERSITY"	"IN"	false	"7"	"Student"	"706"
"chabrak"	"2016-03-17"	"MUU"	"UNIVERSITY of MISSOURI--COLUMBIA"	"MO"	false	"5"	"Student"	"996"
"chabrak"	"2016-02-19"	"FWR"	"ROLLINS COLLEGE"	"FL"	false	"0"	"Student"	"0"
"chabrak"	"2016-03-17"	"AUM"	"UNIVERSITY of MASSACHUSETTS AMHERST"	"MA"	true	"10"	"Student"	"77"
"changs"	"2015-03-30"	"NAM"	"SUNY at ALBANY"	"NY"	true	"6"	"Student"	"10"
"changs2"	"2017-05-02"	"OPU"	"PACIFIC UNIVERSITY"	"OR"	false	"12"	"Student"	"0"
"changs2"	"2017-03-16"	"IBS"	"BALL STATE UNIV LIBRARY"	"IN"	false	"14"	"Student"	"0"
"chenel"	"2015-10-14"	"ORE"	"OREGON STATE UNIV, CORVALLIS"	"OR"	false	"7"	"Student"	"2431"
"chengj"	"2017-03-10"	"EYM"	"UNIVERSITY of MICHIGAN LIBRARY"	"MI"	false	"8"	"Student"	"500"
"chengj"	"2017-03-09"	"VKM"	"SIENA COLLEGE"	"NY"	false	"6"	"Student"	"11"
"chengj"	"2016-03-14"	"ISU"	"INDIANA STATE UNIVERSITY"	"IN"	false	"7"	"Student"	"0"
"chenh2"	"2014-03-05"	"MIQ"	"MILLS COLLEGE"	"CA"	false	"5"	"NA"	"0"
"chenl"	"2014-04-04"	"HUH"	"UNIVERSITY of HAWAII at MANOA LIBRARY"	"HI"	true	"7"	"Student"	"0"
"chenl"	"2014-05-01"	"DKC"	"DICKINSON COLLEGE"	"PA"	false	"5"	"Student"	"249"
"chenl"	"2014-06-04"	"NAM"	"SUNY at ALBANY"	"NY"	true	"4"	"Student"	"10"
